row_number,strt_lon,strt_lat,end_lon,end_lat,m,km,minutes,hours
4991,-71.116174,42.351313,-71.105884,42.350075,1045,1.045,7.216666667,0.120277778
4992,-71.116174,42.351313,-71.106541,42.378551,5463,5.463,21.03333333,0.350555556
4993,-71.056067,42.362811,-71.123338,42.341598,7935,7.935,31.48333333,0.524722222
4994,-71.09788,42.344763,-71.114214,42.366621,4865,4.865,20.01666667,0.333611111
4995,-71.051601,42.35977,-71.082578,42.345959,4070,4.07,18.18333333,0.303055556
4996,-71.114214,42.366621,-71.081572,42.340799,7229,7.229,27.41666667,0.456944444
4997,-71.13802,42.361667,-71.084105,42.362613,8516,8.516,28.13333333,0.468888889
4998,-71.10042,42.363562,-71.056868,42.360583,4106,4.106,16.38333333,0.273055556
4999,-71.076472,42.366981,-71.082578,42.345959,3969,3.969,17.26666667,0.287777778
5000,-71.0790969,42.3348756,-71.123338,42.341598,4679,4.679,20.85,0.3475
5001,-71.121851,42.372244,-71.10042,42.363562,2177,2.177,7.166666667,0.119444444
5002,-71.121851,42.372244,-71.105884,42.350075,4690,4.69,16.63333333,0.277222222
5003,-71.082674,42.348323,-71.090188,42.362429,2649,2.649,12.38333333,0.206388889
5004,-71.094734,42.331567,-71.107593,42.383405,7396,7.396,30.65,0.510833333
5005,-71.084105,42.362613,-71.089886,42.350851,3384,3.384,12.41666667,0.206944444
5006,-71.09788,42.344763,-71.082578,42.345959,1646,1.646,6.533333333,0.108888889
5007,-71.119945,42.379011,-71.088088,42.347265,5255,5.255,22.05,0.3675
5008,-71.121851,42.372244,-71.119945,42.379011,1215,1.215,5.433333333,0.090555556
5009,-71.10042,42.363562,-71.121851,42.372244,2458,2.458,9.033333333,0.150555556
5010,-71.050877,42.363871,-71.123338,42.341598,8503,8.503,32.23333333,0.537222222
5011,-71.088088,42.347265,-71.118579,42.373268,4477,4.477,18.63333333,0.310555556
5012,-71.119945,42.379011,-71.0441,42.3475,8266,8.266,32.45,0.540833333
5013,-71.107593,42.383405,-71.105884,42.350075,7008,7.008,25.58333333,0.426388889
5014,-71.077303,42.349673,-71.090188,42.362429,3000,3,13.88333333,0.231388889
5015,-71.120526,42.333689,-71.066289,42.351146,6231,6.231,22.86666667,0.381111111
5016,-71.094734,42.331567,-71.119945,42.379011,7290,7.29,29.1,0.485
5017,-71.120526,42.333689,-71.109927,42.340299,1931,1.931,7.966666667,0.132777778
5018,-71.081572,42.340799,-71.114214,42.366621,6196,6.196,25.2,0.42
5019,-71.120886,42.373231,-71.07278,42.355596,6684,6.684,22.35,0.3725
5020,-71.084105,42.362613,-71.10042,42.363562,1607,1.607,6.716666667,0.111944444
5021,-71.066289,42.351146,-71.114214,42.366621,7276,7.276,24.73333333,0.412222222
5022,-71.129791,42.36337,-71.116205,42.332799,4342,4.342,17.48333333,0.291388889
5023,-71.101427,42.374035,-71.116174,42.351313,3938,3.938,17.9,0.298333333
5024,-71.10042,42.363562,-71.096413,42.386428,3336,3.336,14.51666667,0.241944444
5025,-71.114214,42.366621,-71.0496,42.3511,8299,8.299,31.33333333,0.522222222
5026,-71.070378,42.352096,-71.105495,42.366426,4727,4.727,17.28333333,0.288055556
5027,-71.076472,42.366981,-71.121851,42.372244,4691,4.691,18.66666667,0.311111111
5028,-71.051601,42.35977,-71.062679,42.352409,2071,2.071,9.033333333,0.150555556
5029,-71.076163,42.347433,-71.121851,42.372244,7152,7.152,28.06666667,0.467777778
5030,-71.10042,42.363562,-71.118579,42.373268,1862,1.862,5.85,0.0975
5031,-71.085954,42.348717,-71.119945,42.379011,4953,4.953,20.58333333,0.343055556
5032,-71.051601,42.35977,-71.057007,42.330825,4138,4.138,16.96666667,0.282777778
5033,-71.10042,42.363562,-71.074182,42.338623,4151,4.151,20.15,0.335833333
5034,-71.065928,42.325941,-71.118579,42.373268,7586,7.586,31.63333333,0.527222222
5035,-71.068922,42.341522,-71.120526,42.333689,5209,5.209,19.6,0.326666667
5036,-71.059367,42.351356,-71.101427,42.374035,6130,6.13,24.88333333,0.414722222
5037,-71.121851,42.372244,-71.057007,42.330825,11621,11.621,43.7,0.728333333
5038,-71.102797,42.337171,-71.096413,42.386428,9513,9.513,38.78333333,0.646388889
5039,-71.121851,42.372244,-71.068922,42.341522,7824,7.824,30.21666667,0.503611111
5040,-71.123338,42.341598,-71.105221,42.334073,2233,2.233,10.26666667,0.171111111
5041,-71.065928,42.325941,-71.120886,42.373231,9332,9.332,38.43333333,0.640555556
5042,-71.10042,42.363562,-71.056067,42.362811,4083,4.083,16.68333333,0.278055556
5043,-71.093198,42.3581,-71.107593,42.383405,4312,4.312,17.16666667,0.286111111
5044,-71.10042,42.363562,-71.129791,42.36337,2560,2.56,10.25,0.170833333
5045,-71.096413,42.386428,-71.102797,42.337171,9636,9.636,36.36666667,0.606111111
5046,-71.07131,42.360877,-71.10042,42.363562,3839,3.839,13.96666667,0.232777778
5047,-71.120886,42.373231,-71.096413,42.386428,4057,4.057,17.1,0.285
5048,-71.116205,42.332799,-71.102797,42.337171,1894,1.894,7.383333333,0.123055556
5049,-71.082578,42.345959,-71.07131,42.360877,3146,3.146,12.3,0.205
5050,-71.10042,42.363562,-71.07131,42.360877,2768,2.768,10.15,0.169166667
5051,-71.123338,42.341598,-71.055547,42.352175,6041,6.041,26.41666667,0.440277778
5052,-71.120886,42.373231,-71.123831,42.352261,4216,4.216,17.15,0.285833333
5053,-71.107593,42.383405,-71.044624,42.353412,7716,7.716,31.88333333,0.531388889
5054,-71.065928,42.325941,-71.123338,42.341598,6742,6.742,29.65,0.494166667
5055,-71.082578,42.345959,-71.114214,42.366621,5890,5.89,22.98333333,0.383055556
